年分,標題
2025,"Chin-Cheng Wu, Cheng-Wei Tsai, Fei-En Wu, Chi-Hsuan Chiang, Jin-Chern Chiou (2025, Jan). Plantar Pressure-Based Gait Recognition with and Without Carried Object by Convolutional Neural Network-Autoencoder Architecture. Biomimetics, 10(2), 79; https://doi.org/10.3390/biomimetics10020079. NSTC 113-2321-B-037-008. 本人為通訊作者."
2024,"Cheng-Wei Tsai, Guan-Ting Yeh, Shun-Hsi Hsu, Shin-Ho Wu, Yu-Hsuan Huang, Herming Chiueh, Jin-Chern Chiou (2024, Jan). The Heterogeneous Packaging of A 3×3 Mini-LED Array for Smart Contact Lens Display Applications. IEEJ Transactions on Electrical and Electronic Engineering, 19(5) DOI: 10.1002/tee.24007. NSTC 112-2221-E-A49-144. 本人為通訊作者."
2024,"Cheng-Wei Tsai, Shun-Hsi Hsu, Yu-Chieh Huang, Guan-Ting Yeh, Yu-Hsuan Huang, Cheng-Yu Hsu, Chun-Yu Wu, Jhu-Jyun Yang, Xuan-Wei Zhang, Jin-Chern Chiou (2024, Jan). A Semi- Passive Smart Contact Lens with On-lens Power Storage Element. IEEJ Transactions on Electrical and Electronic Engineering, 19(5) DOI: 10.1002/tee.23999. NSTC 112-2221-E-A49-144. "
2024,"Jin-Chern Chiou, Chin-Cheng Wu, Tse-Mei Lin, Yu-Chieh Huang (2024, Jan). Dielectrophoretically Assembled SWCNTs Networks on SU-8 Substrate for PEG/SWCNTs Composite Gas Sensor. Polymers, 16(1), 74; DOI: 10.3390/polym16010074. (SCI). NSTC 112-2321-B-037-006. 本人為第一作者."
2021,"Jin-Chern Chiou, Tzu-Sen Yang (2021, Jul). Self-healing digital-to-analogue converter architecture for communication equipment with ordered element- matching technology. IET Engineering, 2021(10), pp559-568. MOST 109-2221- E-009-071-MY3. 本人為第一作者、通訊作者."
2021,"Yung-Jhe Yan, Nai-Lun Cheng, Chia-Ing Jan, Ming-Hsui Tsai, Jin-Chern Chiou and Mang Ou-Yang (2021, May). Band-Selection of a Portal LED-Induced Autofluorescence Multispectral Imager to Improve Oral Cancer Detection. SENSORS, 2021, 21, 3219."
2020,"Tzu-Sen Yang and Jin-Chern Chiou (2020, Sep). A High-Efficiency Driver Circuit for a Gas-Sensor Microheater Based on a Switch-Mode DC-to-DC Converter. SENSORS, vol.20,no.18, 5367-5378. 本人為通訊作者."
2019,"Jin-Chern Chiou, Chin-Cheng Wu, and Tse-Mei Lin (2019, Mar). Sensitivity Enhancement of Acetone Gas Sensor using Polyethylene Glycol/Multi-Walled Carbon Nanotubes Composite Sensing Film with Thermal Treatment. Polymers, vol.11 , no.3, pp.423. 本人為第一作者."
2017,"Y.-C. Huang, P.-T. Huang, S.-L. Wu, Y.-C. Hu, Y.-H. You, J.-M. Chen, Y.-Y. Huang, H.-C. Chang, Y.-H. Lin, J.-R. Duann, T.-W. Chiu, W. Hwang, K.-N. Chen, C.-T. Chuang, and J.-C. Chiou. An Ultra-High-Density 256-channel Neural Sensing Microsystem using TSV-embedded Neural Probes. IEEE Transactions on Biomedical Circuits and Systems (TBCAS), 2017. (SCI, IF: 2.018, Ranking: 69/257(26.85%))"
2017,"Y.-C. Hu, Y.-C. Huang, P.-T. Huang, S.-L. Wu, H.-C. Chang, Y.-T. Yang, Y.-H. You, J.-M. Chen, Y.-Y. Huang, Y.-H. Lin, J.-R. Duann, T.-W. Chiu, W. Hwang, C.-T. Chuang, J.-C. Chiou, and K.-N. Chen, “An Advanced 2.5-D Heterogeneous Integration Packaging for High-Density Neural Sensing Microsystem,” IEEE Transactions on Electron Devices, vol.64, no. 4, pp. 1666-1673, 2017. (SCI, IF: 2.207,Ranking: 57/257 (22.17%))"
2017,"J.-C. Chiou, C.-C. Wu, Y.-C. Huang, S.-C. Chang, and T.-M. Lin, “Effects of Operating Temperature on Droplet Casting of Flexible Polymer/Multi-Walled Carbon Nanotube Composite Gas Sensors,” Sensors, vol. 17, no. 1, pp. 4, 2017. (SCI, IF: 1.57, Ranking: 16/27(59.26%))"
2017,"J.-C. Chiou, S.-H. Hsu, Y.-C. Huang, G.-T. Yeh, W.-T. Liou, and C.-K. Kuei, “A Wirelessly Powered Smart Contact Lens with Reconfigurable Wide Range and Tunable Sensitivity Sensor Readout Circuitry,” Sensors (Basel, Switzerland), vol. 17, no. 1, pp. 108, 2017. (SCI, IF: 1.57, Ranking: 16/27(59.26%))"
2017,"Jin-Chern Chiou, Chin-Cheng Wu,“A Wearable and Wireless Gas-Sensing System Using Flexible Polymer/Multi-Walled Carbon Nanotube Composite Films,”Polymers, vol. 9, no. 9, 2017, pp. 457.(SCI, IF:3.164, Ranking: 17/87(19.54%))"
2016,"J. C. Chiou, S. H. Hsu, Y. T. Liao, Y. C. Huang, G. T. Yeh, C. K. Kuei, K. S. Dai. Toward a Wirelessly Powered On-Lens Intraocular Pressure Monitoring System. IEEE Journal of Biomedical and Health Informatics, vol. 20, no. 5, pp. 1216-1224, Sept. 2016. (SCI, IF: 2.093, Ranking: 29/143 (20.3%) )"
2016,"Jin-Chern Chiou, Yu-Chieh Huang and Guan-Ting Yeh, “A capacitor-based sensor and a contact lens sensing system for intraocular pressure monitoring,” Journal of Micromechanics and Microengineering, 01/2016; 26 (2016) 015001 (13pp). (SCI, IF: 1.731, Ranking: 85/249 (34.13%) )"
2016,"Jin-Chern Chiou, Shun-Hsi Hsu, Guan-Ting Yeh, and Cheng-Kai Kuei, A Wirelessly Powered RFID-based Smart Contact Lens System. INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING, Vol. 24, No. 5. (SCI, IF: 2.677 (2016), Ranking: 10/58 (17%)"
2015,"Chih-Wei Chang, Lei-Chun Chou, Po-Tsang Huang, Shang-Lin Wu, Shih-Wei Lee, Ching-Te Chuang, Kuan-Neng Chen, Wei Hwang, Kuo-Hua Chen, Chi-Tsung Chiu, Ho-Ming Tong, Jin-Chern Chiou*, “ A double-sided, single-chip integration scheme using through-silicon-via for neural sensing applications,” Biomedical Microdevices, 02/2015; 17(1):9906. DOI:10.1007/ s10544-014-9906-9 (SCI, IF: 2.72)."
2014,"Po-Tsang Huang, Shang-Lin Wu, Yu-Chieh Huang, Lei-Chun Chou, Teng-Chieh Huang, Tang-Hsuan Wang, Yu-Rou Lin, Chuan-An Cheng, Wen-Wei Shen, Ching-Te Chuang, Kuan-Neng Chen, Jin-Chern Chiou, Wei Hwang, and Ho-Ming Tong. 2.5D Heterogeneously Integrated Microsystem for High-Density Neural Sensing Applications. Biomedical Circuits and Systems, IEEE Transactions on , vol.8, no.6, pp.810-823, Dec. 2014. (SCI, IF: 2.482, Ranking: 34/249(13.7%)"
2014,"Nai-Lun Cheng, Yao-Fang Hsieh, Ming-Hsui Tsai, Jin-Chern Chiou, Jeng-Ren Duann, Yung-Jiun Lin, Ting-Wei Huang, Chin-Siang Yang, Sing-Tsung Li, Ying Liu, Mang Ou-Yang. Portable LED Induced Autofluorescence (LIAF) imager for Oral Cancer Diagnosis by RGB ratio. Optics & Photonics Taiwan, the International Conference (OPTIC) 2014, Dec. 4-5, 2014."
2014,"Wei-De Jeng, Yuan Ouyang, Ting-Wei Huang, Jeng-Ren Duann, Jin-Chern Chiou, Yu-Shun Tang, Mang Ou-Yang, “Research of accommodative microfluctuations caused by visual fatigue based on liquid crystal and laser displays,” Applied Optics, 10/2014; 53(29). DOI: 10.1364/AO.53.000H76 (SCI, IF: 1.649, Ranking: 29/82(35%)"
2014,"Mei-Lan Ko, Yin-Yuan Chen, Yuan Ouyang, Ting-Wei Huang, Bi-Shiou Tsuen, Wei-De Jeng, Jin-Chern Chiou, Mang Ou-Yang, “Design and analysis of wearable pupillometer for autonomic neuropathy of diabetic patients,” Applied Optics, 10/2014; 53(29). DOI: 10.1364/AO.53.000H27 (SCI, IF:1.649 , Ranking: 29/82(35%)"
2014,"Y.-S. Chien, Y.-P. Huang, R.-N. Tzeng, M.-S. Shy, T.-H. Lin, K.-H. Chen, C.-T. Chiu, C.-T. Chuang, W. Hwang, J.-C. Chiou, H.-M. Tong, K.-N. Chen, “Low-Temperature Bonded Cu/In Interconnect With High Thermal Stability for 3-D Integration,” IEEE Transactions on Electron Devices, 01/2014; 61(4):1131-1136. DOI: 10.1109/TED.2014.2304778 (SCI, IF: 2.358, Ranking: 44/247(17.8%)"
2014,"H.-W. Cheng, T.-C. Yu, H.-Y. Huang, S.-H. Ting, T.-H. Huang, J.-C. Chiou, C.-H. Luo, “Design of Miniaturized Antenna and Power Harvester Circuit on the Enucleated Porcine Eyes,” IEEE Antennas and Wireless Propagation Letters 06/2014; 13:1156-1159. (SCI, IF: 1.948, Ranking: 15/78(19.2%)"
2014,"Syu-Jyun Peng, Tomor Harnod, Jang-Zern Tsai, Ming-Dou Ker, Jin-Chern Chiou, Herming Chiueh, Chung-Yu Wu and Yue-Loong Hsin*, “ Through Diffusion Tensor Magnetic Resonance Imaging to Evaluate the Original Properties of Neural Pathways of Patients with Partial Seizures and Secondary Generalization by Individual Anatomic Reference Atlas,” BioMed. Research International, (Accepted). (SCI, IF:2.706, Ranking: 53/165(32.1%)"
2014,"Ssu-Han Ting, Bo-Ming Jeng, Wen-Shan Chen, Jin-Chern Chiou, and Ching-Hsing Luo, “Broadband Loop Antenna on Soft Contact Lens for Wireless Ocular Physiological Monitoring,” International Journal of Antennas and Propagation, Volume 2014 (2014), Article ID 952746, 7 pages. (SCI, IF: 0.827, Ranking: 163/247(66%)"
2014,"Chen W.-M., Chiueh H., Chen T.-J., Ho C.-L., Jeng C., Chang S.-T., Ker M.-D., Lin C.-Y., Huang Y.-C., Fan T.-Y., Cheng M.-S., Chou C.-W., Liang S.-F., Chien T.-C., Wu S.-Y., Wang Y.-L., Shaw F.-Z., Huang Y.-H., Yang C.-H., Chiou J.-C., Chang C.-W., Chou L.-C., and Wu C.-Y. “A fully-integrated 8-channel closed-loop neural prosthetic SoC for real-time epileptic seizure control,”ISSCC 2013 Distinguished-Technical-Paper Award & ISSCC 2013 Demonstration Session Certificate of Recognition, 2014 IEEE International Solid-State Circuits Conference (ISSCC), San Francisco, CA, Feb. 9-13, 2014."
2014,"Lei-Chun Chou, Shih-Wei Lee, Po-Tsang Huang, Chih-WeiChang, Cheng-Hao Chiang, Shang-Lin Wu, Ching-Te Chuang, Jin-Chern Chiou*, Wei Hwang, Chung-Hsi Wu, Kuo-Hua Chen, Chi-Tsung Chiu, Ho-Ming Tong, Kuan-Neng Chen .A TSV-Based Bio-Signal Package with μ-probe Array. IEEE Electron Device Letters, 35(2), Feb. 2014, pp.256-258. (SCI, IF: 3.023, Ranking: 29/247(11.7%) (Top 2 in Microelectronics Field)"
2013,"Jeng-Ren Duann, Chia-Ing Jan, Mang Ou-Yang, Chia-Yi Lin, Jen-Feng Mo, Yung-Jiun Lin, Ming-Hsui Tsai, Jin-Chern Chiou*, “Separating spectral mixtures in hyperspectral image data using independent component analysis: validation with oral cancer tissue sections,” J. Biomed. Opt. 18 (12), 126005; doi: 10.1117/1.JBO.18.12.126005, December, 2013.(SCI, IF: 3.145)"
2013,"Yan-Pin Huang, Yu-San Chien, Ruoh-Ning Tzeng, Ming-Shaw Shy, Teu-Hua Lin, Kou-Hua Chen, Chi-TsungChiu, Jin-Chern Chiou, Ching-Te Chuang, Wei Hwang, Ho-Ming Tong, and Kuan-Neng Chen* “Novel Cu-to-Cu Bonding with Ti Passivation at 180°C in 3D Integration,” IEEE Electron Device Letters, 34(12), Dec. 2013, pp.1551-1553.(SCI, IF:2.789,Ranking: Top2微電子领域)"
2013,"Ching-Hung Lin, Chun-Ming Chen, Ming-Kuei Lu, Chon-Haw Tsai, Jin-Chern Chiou, Jan-Ray Liao, and Jeng-Ren Duann*,“VBM Reveals Brain Volume Differences between Parkinson’s Disease and Essential Tremor Patients,”Frontiers in Human Neuroscience, vol.7(247), June 2013, pp.1~10.(SCI, IF:2.339)"
2013,"S. W. Tsai, Chia-Yang Lin and J.-C. Chiou*, “Design and Fabrication of Micromachined LPD-based SnO2 Gas Sensor Integrated with TaN Heater on a MEMS Micro-hotplate,”IEEE Sensors Journal, Volume:13 , Issue: 6, pp. 2466 – 2473, 2013. (SCI, IF:1.52, Ranking: 78/245)"
2013,"Chang, C.-W., Chiou, J.-C*, “A Wireless and Batteryless Microsystem with Implantable Grid Electrode/3-Dimensional Probe Array for ECoG and Extracellular Neural Recording in Rats,”Sensors 2013, 13(4), pp. 4624-4639. (SCI, IF:1.739, Ranking:14/58)"
2013,"Chih-Yuan Chen, Chia-Lin Chang, Chih-Wei Chang, Shin-Chi Lai,Tsung-Fu Chien, Hong-Yi Huang, Jin-Chern Chiou, and Ching-Hsing Luo, “A Low-Power Bio-Potential Acquisition System with Flexible PDMS Dry Electrodes for Portable Ubiquitous Healthcare Applications,”Sensors 2013, 13(3), pp. 3077-3091. (SCI, IF:1.739, Ranking:14/58)"
2013,"Mei-Lan Ko, Ting-Wei Huang, Yin-Yuan Chen, Bi-Shou Sone, Y.-C. Huang, Wei-De Jeng, Yu-Ta Chen, Yao-Fang Hsieh, K.-H. Tao, S.-T. Li, Mang Ou-Yang, Jin-Chern Chiou. A new apparatus of infrared videopupillography for monitoring pupil size. Medical Applications of Radiation Detectors III - Proceedings of SPIE, Vol. 8853, pp. 88530I, Sep. 26, 2013. (EI)."
2013,"Pan, H.-A., Liang J-Y., Hung, Y.-C., Chiou, J.-C., Andrei Aleksandrovich Onischuk, and Huang*, G. S. “The spatial and temporal control of cell migration by nanoporous surfaces through the regulation of ERK and integrins in fibroblasts,”Biomaterials, 2013 Jan;34(4): pp.841-53(SCI, IF:7.404)"
2012,"Yao-Fang Hsieh, Mang Ou-Yang, Jeng-Ren Duann, Jin-Chern Chiou, Nai-Wen Chang, Chia-Ing Jan, Ming-Hsui Tsai, Shuen-De Wu,Yung-Jiun Lin, and Cheng-Chung Lee, “Development of a Novel Embedded Relay Lens Microscopic Hyperspectral Imaging System for Cancer Diagnosis:Use of the Mice with Oral Cancer to Be the Example,”International Journal of Spectroscopy, Volume 2012, Article ID 710803, 13 pages.(SCI, IF:0.805)"
2012,"Lin, Chun-Ying and Jin-Chern Chiou*. MEMS-based Thermally-Actuated Image Stabilizer for Cellular Phone Camera. Journal of Micromechanics and Microengineering , Vol. 22, Oct., 2012, pp.115029-115041.(EI, SCI, IF:2.105,Ranking:14/132)"
2012,"Jin-Chern Chiou*, Lei-Chun Chou, You-Liang Lai, Sheng-Chieh Huang, “A novel thermal switch and variable capacitance implement by CMOS MEMS process approaching in micro electrostatic converter,”Solid-State Electronics, Vol. 77, 2012, pp. 56-63.(SCI, IF:1.397, Ranking: 90/244)"
2012,"Chih-Wei Chang, Kuan-Chou Hou, Li-Jung Shieh, Sheng-Hsin Hung, and Jin-Chern Chiou*, “Wireless Powering Electronics and Spiral Coils for Implant Microsystem toward Nanomedicine Diagnosis and Therapy in Free-Behavior Animal,”Solid-State Electronics, Vol. 77, 2012, pp.93-100.(SCI, IF:1.397, Ranking: 90/244)"
2012,"Chun-Ying Lin, Jin-Chern Chiou*,“Design and Fabrication of MEMS-Based Thermally-Actuated Image Stabilizer for Cell Phone Camera,”Solid-State Electronics, Vol. 77, 2012, pp. 64-71.(SCI, IF:1.397, Ranking: 90/244)"
2012,"Hsi-Fu Shih, Yi Chiu, Stone Cheng, Yuan-Chin Lee, Chun-Shin Lu, Yung-Chih Chen, and Jin-Chern Chiou, “Prism-type Holographic Optical Element Design and Verification for the Blue-light Small-form-factor Optical Pickup Head,”Applied Optics, Vol. 51, No. 24, Aug. 2012, pp.5758-5766."
2012,"Hsu-An Pan, Yao-Ching Hung, Jin-Chern Chiou, Shih-Ming Tai, Hsin-Hung Chen and G Steven Huang, “Nanosurface design of dental implants for improved cell growth and function,”Nanotechnology, 23, 335703 (11pp), 2012. (SCI, IF:3.979, Ranking:16/125)"
2012,"Yu-Shiun Chen, Yao-Ching Hung, Meng-Yeng Hong, Andrei Aleksandrovich Onischuk, Jin- Chern Chiou, Irina V. Sorokina, Tatiana Tolstikova, and G. Steve Huang, “Control of In Vivo Transport and Toxicity of Nanoparticles by Tea Melanin,”Journal of Nanomaterials, Volume 2012 , Article ID 746960, 11 pages, 2012. (SCI, IF:1.376, Ranking: 104/231)"
2012,"Yue-Jheng Lin, Yi Chiu, Hsi-Fu Shih and Jin-Chern Chiou*, “Fabrication and Verification for a Small-Form-Factor of Blue-Light Optical Pickup Head with Holographic Optical Element”IEEE/OSA Journal of LightwaveTechnology, Vol. 30, Issue 1, Jan., 2012, pp.38-42.(SCI,IF:2.784, Ranking:5/78)"
2011,"Kuan-Chou Hou, Chih-Wei Chang, Jin-Chern Chiou*, Yu-Hsing Huang and Fu-Zen Shaw, “A Wireless and Batteryless Biomedical Microsystem for Neural Recording and Epilepsy Suppression based on Brain Focal Cooling,”IET Nanobiotechnology, Vol. 5, Issue 4, Dec. 2011, pp. 143-147. (SCI, IF:1.833, Ranking:34/66)"
2011,"Yu-Shiun Chen, Ning Hung, Li-Jen Chou, Jin-Chern Chiou, Meng-Yen Hong, andG. Steven Huang*, “Self-assembly of an antireflective moth-like structure usingantibody-functionalized nanowires and nanoporearrays,”Nanotechnology, Volume 22, Issue 47, 2011, pp. 475601.(SCI, IF:3.979, Ranking:16/125)"
2011,"K. C. Hou and J.-C. Chiou*, “Verification of a Small- Form-Factor Optical Head with Micro Holographic Optical Element,”IEEE Transactions on Magnetics, Vol. 47, No. 3, March, 2011, pp.564-567.(EI, SCI, IF:1.363, Ranking:94/244)"
2011,"S. W. Tsai andJ.-C. Chiou*, “Improved crystalline structure and H2S sensing performance of CuO-Au-SnO2 thin film using SiO2 additive concentration,”Sensors and Actuators B:Chemical,152, 2011, pp. 176-182.(SCI, IF:3.898, Ranking:3/58)"
2011,"Yu-Cheng Lin, Po-Chien Chou, Kuan-Chou Hou, Stone Cheng, Jin-Chern Chiou, Hsi-Fu Shih, “Optimising the performance of optical data storage drives based on a novel seesaw–swivel actuator for a holographic module,”Micro & Nano Letters, Vol. 6, pp. 571-574, 2011.(SCI, IF:0.944, Ranking:138/231)"
2011,"Chun-Ying Lin, Jin-Chern Chiou*, “Design, fabrication and actuation of four-axis thermal actuating image stabilizer,”Micro & Nano Letters, Vol. 6, pp. 549-552, 2011.(SCI, IF:0.944, Ranking:138/231)"
2011,"Jin-Chern Chiou*, Lei-Chun Chou, You-Liang Lai, Ying-Zong Juang, Sheng-Chieh Huang, “Thermal switch design by using complementary metal/oxide semiconductor MEMS fabrication process,”Micro & Nano Letters, Vol. 6, pp. 534-536, 2011.(SCI, IF:0.944, Ranking:138/231)"
2011,"Kuan Chou Hou, Po Chien Chou, Stone Cheng, Yue Jheng Lin, Yi Chiu, and Jin Chern Chiou*, “Fabrication and Verification for the Small-Form-Factor Holographic Optical Pickup,”Optical Review, vol. 18, no. 1, Jan/Feb, 2011, pp. 60-65.(SCI, IF:0.661, Ranking:56/77)"
2010,"L. J. Shieh and J.-C. Chiou*, “Complementary Metal-Oxide-Semiconductor Micro-Electro -Mechanical-SystemReconfigurable Cantilever Resonator with Multiple Electrostatic Electrodes,”Japanese Journal of Applied Physics, Vol. 49, 2010, pp. 116501(EI, SCI, IF:1.058, Ranking:76/125)"
