年分,標題
2010,"Yu-Shiun Chen, Yao-Ching Hung, Jin-Chern Chiou, Hui-Liang Wang, Hung-Shu Huang, Li-Chia Huang, and Guewha Steven Huang*, “Ultrasensitive Detection of Cymbidium Mosaic Potexvirus Using a Single-Wall Carbon Nanotube-Functionalized Quartz Crystal Microbalance,”Japanese Journal of Applied Physics, Vol. 49, 2010, pp. 105103(EI, SCI, IF:1.058, Ranking:76/125)"
2010,"Jin-Chern Chiou*, Chen-Chun Hung and Li-Jung Shieh, “CMOS-MEMS Based Optical Electrostatic Phase Shifter Array with Low Driving Voltage and High Fill Factor,”IEEE Journal of Quantum Electronics,Vol. 46, No. 9, Sept. 2010, pp.1301-1308.(EI, SCI, IF:1.879, Ranking:54/244)"
2010,"Chih-Wei Chang, Li-Wei Ko, Fu-Chang Lin, Tung-Ping Su, Tzyy-Ping Jung, Chin-Teng Lin and Jin-Chern Chiou*, “Drowsiness Monitoring with EEG-Based MEMS Biosensing Technologies, ”Journal of Gerontopsychology and Geriatric Psychiatry ,Vol. 23, Issue 2, 2010, pp. 107-113."
2010,"J.-C. Chiou*, Chen-Chun Hung and Chun-Ying Lin, “Design, Fabrication, and Actuation of MEMS-Based Image Stabilizer for Photographic Cell Phone Applications,”Journal of Micromechanics and Microengineering ,Vol. 20, Issue 7, ,2010, pp 075025.(EI, SCI, IF:2.105,Ranking:14/132)"
2010,"Kuo-Yung Hung*, Liang-Wei Chang, Fan-Gang Tseng, Jin-Chern Chiou and Yi Chiu, “Optimum electrostatic force control for fabricating a hybrid UV-curable aspheric lens,”Journal of Micromechanics and Microengineering, Volume 20, Issue 7, 2010, pp. 075001.(EI, SCI, IF:2.105,Ranking:14/132)"
2010,"Chih-Wei Chang and Jin-Chern Chiou*, “Development of a Three Dimensional Neural Sensing Device by a Stacking Method,”Sensors, Vol. 10, No. 5, 2010, pp. 4238-4252.(EI, SCI, IF:1.739, Ranking:14/58)"
2010,"Chia-Lin Chang, Chih-Wei Chang, Hong-Yi Huang, Chen-Ming Hsu, Chia-Hsuan Huang, Jin-Chern Chiou and Ching-Hsing Luo, “Power-Efficient Bio-potential Acquisition Device with DS-MDE Sensors for Long-Term Healthcare Monitoring Application,”Sensors, Vol.10, No.5, 2010, pp. 4777-4793. (EI, SCI, IF:1.739, Ranking:14/58)"
2010,"C. C. Hung, J.-C. Chiou*, and C. W. Chang, “Transparent microprobe array fabricated by MEMS hot embossing technology for photodynamic therapy application,”IEICE Electronics Express , Vol.7, No. 9, 2010, pp. 569-576(EI, SCI, IF:0.461, Ranking:195/244)"
2010,"J.-C. Chiou*, C. C. Hung, C. Y. Lin and Y. J. Lin, “Design, Fabrication and Actuation of MEMS-Based Image Stabilizer,”Japanese Journal of Applied Physics. Vol. 49, No. 1, 2010, pp. 014201.(EI, SCI, IF:1.058, Ranking:76/125)"
2010,"J.-C. Chiou*, C. C. Hung, L. J. Shieh, and Z. L. Tsai, “A Novel Electrostatic Micromirror Phase Shifter Array Using CMOS-MEMS Process,”Journal of Micro/Nanolithography, MEMS, and MOEMS,Vol. 9, No. 1, 2010, pp. 013030.(SCI, IF:0.995, Ranking:126/244)"
2009,"Yi Chiu*, Hsi-Fu Shih, Jin-Chern Chiou,Shih-Tung Cheng, Kuo-Yung Hung, Fan-Gang Tseng, Weileun Fang, “Design and fabrication of a small-form-factor optical pickup head,”IEEE Transactions of Magnetics, Vol. 45, Issue 5, May 2009, pp. 2194-2197.(EI, SCI, IF:1.363, Ranking:94/244)"
2009,"C. L. Chang, C. W. Chang, C. M. Hsu, C. H. Luo, J.-C. Chiou, “Power-efficient wireless sensor for physiological signal acquisition,”J. Micro/Nanolith. MEMS MOEMS, Vol. 8(2) Apr-Jun, 2009, pp. 021120-1~ 021120-7.(SCI, IF:0.995, Ranking:126/244)"
2009,"Chin-Teng Lin*, Li-Wei Ko, Che-Jui Chang, Yu-Te Wang, Chia-Hsin Chung, Fu-Shu Yang, Jeng-Ren Duann, Tzyy-Ping Jung and Jin-Chern Chiou,“Wearable and Wireless Brain-Computer Interface and Its Applications,”Foundations of Augmented Cognition. Neuroergonomics and Operational Neuroscience,Lecture Notes in Computer Science, Volume 5638, 2009, pp. 741-748"
2008,"J.-C. Chiou*, S. W.Tsai, and Y. S. Liu and C. T. Huang, “Effect of Depositing Tin Oxide Thin Film by Liquid Phase with Dip-Coating Cu and Au Catalysts on H2S Gas Sensing Performance,”Sensors and Materials. Vol. 20, No. 8, 2008, pp. 425-433.(SCI, IF:0.342,Ranking:51/58)"
2008,"J.-C. Chiou*, and C. L. Chen, “Modeling and Verification of A Diamond Shape Narrow Tilting Vehicle,”IEEE/ASME Transactions on Mechatronics, Vol.13, No. 6, Dec. 2008, pp.678-691. (97-2220-E-009-026)(EI, SCI, IF:2.865,Ranking:1/37)"
2008,"J.-C. Chiou*, L. J. Shieh, and Y. J. Lin, “CMOS-MEMS PrestressVertical Cantilever Resonator with Electrostatic Driving and Piezoresistive Sensing,”Journal of Physics D:Applied Physics, Vol. 41, No. 20, 2008, p. 205102. (97-2220-E-009-026)(EI, SCI, IF:2.544,Ranking:26/125)"
2008,"Hsi-Fu Shih, Yuan-Chin Lee, Yi Chiu, David Wei-Chung Chao,Gung-Ding Lin, Chun-Shin Lu and Jin-Chern Chiou, “Micro Objective Lens with NA 0.65 for the Blue light Small-form-factor Optical Pickup Head,”Optics Express, Vol. 16, No. 17, 2008, pp. 13150-13157. (97-2623-E-009-001-IT)(EI, SCI, IF:3.587,Ranking:5/77)"
2008,"C. T. Lin, L. W. Ko, J.-C. Chiou, T. P. Jung, J. R. Duann, T. W. Chiu and S. F. Liang, “Noninvasive Neural Prostheses Using Mobile and Wireless EEG,”Proceedings of the IEEE, Vol. 96, Issue 7, 2008, pp. 1167-1183.(96-2218-E-009-001) (EI, SCI, IF:6.810, Ranking:2/244, Top 1%)"
2008,"J.-C. Chiou*,Chin-Fu Kuo, and Yung-Jiun Lin, “Extending Traveling Range with a Cascade Electrostatic Comb-Drive Actuator,”Journal of Micromechanics andMicroengineering, Vol. 18, 2008,p. 015018. (96-2218-E-009-001) (EI, SCI, IF:2.105,Ranking:14/132) "
2008,"邱俊誠、林永峻、張志瑋、蔡尚瑋、謝禮忠、吳順德, “生醫應用微型感測器與模組之研究與發展,”電子月刊, 2008年1月號150期, pp.121-135."
2007,"J.-C. Chiou*, and C. F. Kuo, “Development of Vertical Electrostatic Comb-drive ActuatorUsing Magnified Cascade Configuration,”Japanese Journal of Applied Physics,Vol. 46, No. 10A, 2007, pp. 6546-6549. (96-2218-E-009-001)(EI, SCI, IF:1.058, Ranking:76/125)"
2007,"J.-C. Chiou*, C. F. Kuo and Y. J. Lin, “A Micromirror with Large Static Rotation and Vertical Actuation,”IEEE Journal of Selected Topics in Quantum Electronics. Vol. 13, No. 2, March/April, 2007, pp. 297-303. (NSC 95-2221-E-009- 331) (96-2218-E-009-001)(EI, SCI, IF:3.780, Ranking:3/77)"
2007,"Yi Chiu,J.-C. Chiou, W. L. Fang, Y. J. Lin, and M. C. Wu, “Design, Fabrication, and Control of Components in MEMS-Based Optical Pickups,”IEEE Transactions on Magnetics , Vol. 43, No. 2, Feb. 2007, pp. 780-784. (MOEA 91-EC-17-A-07-S1-0011)(97-2623-E-009-001-IT) (EI, SCI, IF:1.363, Ranking:94/244)"
2006,"C. H. Ko and J.-C. Chiou*, “Fuzzy Macromodel for Dynamic Simulation of Microelectromechanical Systems,”IEEE Transactions on System, Man and Cybernetics, Part A-System and Humans, , Vol. 36, No. 4, July, 2006, pp. 823-830.(95-2218-E-009-017), (EI, SCI, IF:0. 821, Ranking:6/18)"
2006,"J.-C. Chiou*, and Y. J. Lin, “Modeling and Verification of the Double Frequency Effect in a MEMS Device”, MicroSystem Technologies, Vol. 12, No. 8, July 2006, pp. 796-802. (94-2215-E-009-055-) (EI, SCI, IF:0.720, Ranking:100/208)"
2005,"邱俊誠、郭秦輔,、林育成、曾致豪、曾繁根, “覆晶封裝技術於微機電系統之應用,”電子月刊, 2005年11月號124期, pp. 160-168."
2005,"J.-C. Chiou* and Y. J. Lin, “A Novel Large Displacement Electrostatic Actuator:Pre-stressComb-drive Actuator,”Journal of Micromech. Microeng., Vol. 15, No.9,2005, pp.1641-1648. (MOEA 91-EC-17-A-07-S1-0011, NSC 92-2215-E-009-009, BRC-UST 92B-711) (EI, SCI, IF:2.048,Ranking:6/107)"
2005,"邱一、邱俊誠, “微機電式光學讀取頭,”電子月刊, 2005年6月號119期."
2005,"Y. Chiu, C.H. Chen, J.-C. Chiou, W. Fang, and H-P. D. Shieh,“MEMS-Based Miniature Optical Pickup,”IEEE Transactions on Magnetics , Vol. 41, No. 2, Feb. 2005, pp. 967-970. (MOEA 91-EC-17-A-07-S1-0011, NSC 92-2215-E-009-009, BRC-UST 92B-711) (EI, SCI, IF:0.837, Ranking:82/209)"
2005,"W. T. Lin, J.-C. Chiou, and C. Tsou*“A Self-Aligned Multi-Layers SOI Process for MEMS Applications,”MicroSystem Technologies, Vol. 11, No. 2-3, Feb. 2005, pp. 204-209.(MOEA 91-EC-17-A-07-S1-0011, NSC 92-2215-E-009-009) (EI, SCI, IF:0.732, Ranking:90/209)"
2005,"Y. W. Jan and J.-C. Chiou*, “Attitude Control System for ROCSAT-3 Microsatellite:a conceptual design,”Acta Astronautica ,Vol. 56, 2005, pp. 439-452. (EI, SCI, IF:0.240, Ranking:17/25)"
2004,"J.-C. Chiou*, and W. T. Lin, “Variable Optical Attenuators Using a Thermal Actuator Array with Dual Shuttles,”Optics Communications,Volume 237, Issues 4-6, July 2004, pp. 341-350. (MOEA 91-EC-17-A-07-S1-0011, NSC 92-2215-E-009-009) (EI, SCI, IF:1.482, Ranking:16/53)"
2004,"C. H. Ko, J.-C. Chiou*, C. Y. Gau, S. S. Lee, and W. T. Chang, “Tower Crane Vibration Suppression Using Generalized Input Shaping,”International Journal of Fuzzy Systems, Vol. 6, No. 1, March 2004, pp. 38-43. (EI)"
2004,"Y. W. Jan and J.-C. Chiou*, "Minimum-Time Spacecraft Maneuver Using Sliding-Mode Control", ActaAstronautica, 54, Jan.,2004, pp.69-75. (EI, SCI, IF:0.307, Ranking:16/26)"
2004,"邱俊誠、林育成, “以微機電技術設計製作應用於光置入擷取多工器之光切換元件,”電子月刊 , 2004年1月號107期"
2003,"J.-C. Chiou* and Y. C. Lin, “A Multiple Electrostatic Electrodes Torsion Micromirror Device with Linear Stepping Angle Effect,”Journal of Microelectromechanical Systems, Vol. 12, No. 6, Dec. 2003, pp. 913-920. (MOEA 91-EC-17-A-07-S1-0011, NSC 91-2215-E-009-028) (EI, SCI, IF:3.005, Top 5%)"
2003,"Y. C. Lin, J.-C. Chiou*, and C. L. Chen, “A Digital/Analog Actuating Mechanism for Optical Applications”, International Journal of Computational Engineering Science, Vol. 4, No. 3, Sep. 2003, pp. 435-438. (NSC 91-2215-E-009-028)"
2003,"J.-C. Chiou* and Y. J. Lin, “A new modeling method of vertical electrostatic comb drives”, International Journal of Computational Engineering Science, Vol. 4, No. 3, Sep. 2003, pp. 641-644. (NSC 91-2215-E-009-028)"
2003,"Y. C. Lin, J.-C. Chiou*, W. T. Lin, Y. J. Lin, and S. D. Wu, “The Design and Assembly of Surface-Micromachined Optical Switch for Optical Add/Drop Multiplexer Application”, IEEE Transactions on Advanced Packaging, Vol. 26, No. 3, Aug. 2003, pp. 261-267. (MOEA 91-EC-17-A-07-S1-0011, NSC 91-2215-E-009-028) (EI,SCI,IF:1.254, Top 10%)"
2003,"W. T. Lin and, J.-C. Chiou*, “Multi-Directional Dual Comb-Drive Actuator for Optical Applications”, International Journal of Computational Engineering Science, Vol. 4, No. 2, June, 2003, pp. 201-204. (NSC 91-2215-E-009-028)"
2003,"J.-C. Chiou* and Y. J. Lin, “A Novel Application of Contact Friction for Laterally Motion Tunable Acceleration-threshold Switch:Modeling and Simulation”, International Journal of Computational Engineering Science, Vol. 4, No. 2, June, 2003, pp. 417-420. (NSC 91-2215-E-009-028)"
2003,"C. H. Ko and J.-C. Chiou*, “Optimal Design of the Magnetic Microactuator Using the Genetic Algorithm”Journal of Magnetism and Magnetic Materials, 263, 2003, pp 38-46. (NSC 91-2215-E-009-028) (EI,SCI,IF:0.985)
2002,"Y. W. JanandJ.-C. Chiou*,“Unloading Law For A LEO Spacecraft with Two-Gimbals Solar Array,”ActaAstronautica,Vol. 51, No. 12, pp.843~854, 2002. (EI,SCI,IF:0.209)"
2002,"楊昭中、柯春旭、戴志銘、林景崎、邱俊誠,“電磁式平面微電感的製作及應用”, 科儀新知第二十四卷一期 (129 期), 中華民國九十一年八月, pp. 5-12."
2002,"W. T. Lin,J.-C. Chiou*, and B. C. S. Chou “A photonic device compatible process in fabricating tunable Fabry-Perot filter,”Optics Communications, 210, 2002, pp. 149-154. (NSC90-2215-E-009-101) (EI,SCI,IF:1.456)"
2002,"C. H. Ko, J. J. Yang, and J.-C. Chiou*, “Efficient magnetic microactuator with an enclosed magnetic core,”Journal of Microlith.,Microfab., Microsyst., Vol. 1, No. 2, 2002, pp. 144-149. (NSC90-2215-E-009-101)"
2002,"Jauh-Jung Yang, Chun-Hsu Ko, Chih-Ming Tai, Jing-Chie Lin, Jin-Chern Chiou, “Fabrication and Application of Magnetic Micro Planer Inductor,” Instruments Today, Vol.24, No.1,pp. 5-12, 2002."
2002,"林煒挺、周正三、邱俊誠,“微型光學調頻元件及其應用驅勢”,光訊, 第九十四期, 中華民國九十一年, pp7-10, 2002."
2002,"邱俊誠、林育成、張伊甄、林永峻,“應用光微機電技術發展之微鏡面系統(上)”, 光訊, 第四十九期, 中華民國九十一年, pp11-15, 2002."
2002,"邱俊誠、林育成、張伊甄、林永峻,“應用光微機電技術發展之微鏡面系統(下)”, 光訊, 第五十期, 中華民國九十一年, pp32-36, 2002."
2001,"J.-C. Chiou*, Y. W. Janand S. D. Wu,“A Family of Constraint Preserving Integrators for Solving Quaternion Equations,”Journal of Guidance, Control, and Dynamics, Vol. 24, No.1., Jan.-Feb., 2001, pp.72-78. (EI,SCI,IF:0.946)"
2000,"S. D. Wu, J.-C. Chiou*, and Y. C. Lin, “Modified Adam-Moulton Predictor Corrector Method in Solving Multibody Dynamical Systems,”Mechanics of Structures and Machines, 28(2&3), 2000, pp.201-208. (SCI,IF:0.415)"
2000,"邱俊誠、林育成,“以熱致動器為主之微系統應用,”微系統科技協會季刊,第二期, 中華民國八十九年十月, pp. 69-76."
2000,"邱俊誠, “次世代數位影音多用途光碟系統之光機電整合研究-主走軸馬達伺服控制,”工程科技通訊-電機, 第四十八期, 中華民國八十九年六月, pp. 75-78."
1999,"J.-C. Chiou*and S. D. Wu,“On the Generation of Higher Order Numerical Integration Methods Using Lower Order Adams-Bashforth and Adams-Moulton Methods,”Journal ofComputational and Applied Mathematics, 108, 1999, pp. 19-29. (EI,SCI,IF:0.569)"
1999,"S. D. Wu,J.-C. Chiou* and J. Y. Yang, “A New Constraint Stabilization Technique for Dynamic Systems with Nonholonomic Constraints,”Journal of Guidance Navigation, Dynamics and Control, Vol. 22, No. 3, 1999, pp. 497-499. (EI,SCI,IF:0.946)"
1999,"邱俊誠, “光碟機系統跨軌漏數補償法之研究,”工程科技通訊-電機, 第三十八期, 中華民國八十八年六月, pp. 17-19."
1999,"J.-C. Chiou*,J. Y. Yang and S. D. Wu,“Stability Analysis of Baumgarte Constraint Stabilization Technique in Multibody Dynamic Systems,”Journal of Guidance Navigation, Dynamics and Control, Vol. 22, No. 1, Jan.-Feb., 1999, pp. 160-162. (EI,SCI,IF:0.946)"
1998,"J.-C. Chiou* and J. Y. Yang, “A CVD epitaxial deposition in a vertical barrel reactor:process modeling using cluster based fuzzy logic models,”IEEE Transactions on Semiconductor Manufacturing, Vol. 11, No. 4, Nov., 1998, pp. 645-653. (EI,SCI,IF:0.774)"
1998,"J.-C. Chiou*, J.-C. Yu, Y. C. Lin and S. J. Chen “The Fabrication, Analysis and Study of Three-layer Polysilicon Micro-Sliding System, ”Journal of the Mechatronic Industry, Issue 185, Aug. 1998, pp.128-137."
1998,"邱俊誠、高崇洋, “堆高機傾覆預警裝置細部設計及分析,”勞工安全衛生研究季刊,中華民國八十七年九月,第六卷,第三期, pp.1-13."
1998,"邱俊誠, 余志誠, 林育成, 陳世洲, “三層多晶矽電熱式微致動器及微滑桿致動系統之製作分析與研究,”機械工業雜誌, 87年8月號, p.128-137."
1998,"邱俊誠, “高倍速多媒體光碟機與次世代影音光碟系統之伺服控制系統之研究,”工程科技通訊-電機, 第三十一期, 中華民國八十七年六月, pp. 106-109."
1998,"J.-C. Chiou*and S. D. Wu, “Constraint Violation Stabilization Using Input-Output Feedback Linearization in Multibody Dynamic Analysis,”Journal of Guidance Navigation, Dynamics and Control, Vol. 21, No. 2, March-April, 1998, pp. 222-228. (EI,SCI,IF:0.946)"
1997,"J.-C. Chiou*and S. D. Wu, “Open Newton-Cotes Differential Methods as Multi-layer Sympletic Integrators,”Journal of Chemical Physics, Nov. 1, 1997, Issue 107, pp. 6894-6898. (EI,SCI, IF: 3.138)"
1997,"J.-C. Chiou*, M. C. Hwang, S. D. Wu, and J. Y. Yang, “Robust Attitude Control of Spacecraft Using Sliding Mode Control and Productive Network,”International Journal of Systems Science, Vol. 28, No. 5, 1997, pp. 435-446. (SCI,IF:0.212)"
1995,"J.-C. Chiou*, I-Shiou Chen and Shuess-Der Wu, “Nonlinear Optimal Flight Control via the Chebyshev Polynomials,”Transactions of Aeronautical and Astronautical Society of the R.O.C. vol. 27, Number 1, 1995, pp. 41-49."
1993,"Chiou, J. C*., Park, K. C., Farhat, C., “A Natural Partitioning Scheme for Parallel Simulation of Multibody Systems,”International Journal for Numerical Methods in Engineering, Vo1. 36, 1993, pp. 945-967. (EI,SCI,IF:1.203)"
1993,"Park, K, C., and Chiou, J.-C., “A Discrete Momentum-Conserving Explicit Algorithm for Rigid Body Dynamics Analysis,”International Journal for Numerical Method in Engineering, Vol. 36, 1993, pp.1071-1083. (EI,SCI,IF:1.203)"
1992,"Downer, J. D., Park, K. C., Chiou, J.-C., “ Dynamics of Flexible Beams for Multibody Systems: A Computational Procedure,”Computer Methods in Applied Mechanics and Engineering, 96, 1992, pp.373-408."
1992,"Natori, M. C., Park, K. C., Chiou, J.-C., and Namba, H., “Application of Adaptive Structure Concepts to Construction of Space System in Orbit: Concepts and Formulation,”Journal of Intelligent Material System and Structures, Vol. 3, No. 4, Oct. 1992, pp.719-734."
1992,"Park, K. C., Downer, J. D., Chiou, J.-C., and Farhat, C., “A Modular Multibody Analysis Capability for High-Precision, Active Control and Real-Time Applications, ”International Journal for Numerical Method in Engineering, Vol. 32, No. 8, 1992, pp.1767-1798. (EI,SCI,IF:1.203)"
1990,"Park, K. C., Chiou, J.-C., and Downer, J. D., “Explicit-Implicit Staggered Procedure for Multibody Dynamics Analysis, ”Journal of Guidance, Control, and Dynamics, Vol. 13, No. 3, May-June, 1990, pp. 562-570. (EI, SCI, IF:0.946)"
1990,"Chiou, Jin-Chern, ”Constraint treatment techniques and parallel algorithms for multibody dynamic analysis,”NASA Center:NASA, 1990, Added to NTRS:2005-08-25, Accession Number:91N13759; Document ID:19910004446;Report Number:CU-CSSC-90-26, NAS 1.26:187668, NASA-CR-187668"
1988,"Park, K. C., and Chiou, J.-C., “Stabilization of Computational Procedures for Constrained Dynamical System, ”Journal of Guidance, Control and Dynamical System, 1988, Vol. 11, No. 4, pp. 365-370. (EI,SCI,IF:0.946)"
